# data4.csv — AUTO SWEEP RESULT 转换（N=40，10 Hz – 10000 Hz 对数扫频）
# 列: f_Hz, Re(Z)_ohm, Im(Z)_ohm；结构答案见 examples/ans.txt
10,63.21,0.5698
11.94,62.1,0.1557
14.25,62.11,0.1645
17.01,62.11,0.1544
20.31,62.11,0.1439
24.24,62.11,0.183
28.94,62.11,0.1678
34.55,62.13,0.1946
41.25,62.13,0.1965
49.24,62.13,0.2081
58.78,62.14,0.2571
70.17,62.13,0.2656
83.77,62.12,0.3389
100,62.13,0.3705
119.4,62.12,0.4284
142.5,62.13,0.528
170.1,62.14,0.6373
203.1,62.13,0.7439
242.4,62.14,0.9042
289.4,62.14,1.09
345.5,62.17,1.283
412.5,62.19,1.546
492.4,62.23,1.826
587.8,62.3,2.171
701.7,62.37,2.609
837.7,62.51,3.176
1000,62.66,3.795
1194,62.92,4.532
1425,63.3,5.455
1701,63.87,6.549
2031,64.72,7.92
2425,66.1,9.602
2895,68.37,11.67
3455,72.33,14.08
4124,81.46,16.09
4923,95.28,12.61
5877,107.2,-9.77
7018,89.8,-33.4
8377,69.83,-32.21
10000,59.76,-24.41
